pid,tid,home_size,parcel_size,beds,age,pool,price,year,cbd_dist,x_coord,y_coord
129,8559,1618,8452,4,19,0,203.403,2004,8241.34,554709.3,1549446
130,7051,1732,8046,4,0,0,148.541,2004,12752.72,498884,1552529
131,5040,1066,7383,3,21,0,89.282,2003,15276.96,487663.8,1548086
132,6253,1662,13978,3,9,0,166.824,2003,18805.54,596520.9,1529036
133,4592,966,3948,2,11,0,99.625,2003,11683.21,572522.4,1538169
134,1222,1036,2896,2,10,0,77.608,2001,18825.97,539281.4,1469472
135,7635,1555,11700,3,15,0,132.49,2002,8106.67,553806.6,1512443
137,8673,1279,8899,3,3,0,115.638,2003,10986.82,500453.3,1541960
138,4899,2206,8629,4,0,0,183.297,2001,14357.54,492698.5,1552187
139,1042,1443,5539,3,12,0,128.461,2002,14823.12,582721.9,1522514
140,3318,1358,6199,3,2,0,133.741,2002,18284.07,593861.8,1520285
141,4732,1209,8864,3,11,0,116.809,2002,17124.29,528415.5,1475270
144,8076,1782,6050,3,2,0,121.059,2000,11119.22,499057.9,1538282
145,9746,1941,6163,3,0,0,171.487,2004,21350.38,543299.7,1461540
146,4035,4767,16834,3,0,1,781.839,2003,18639.26,482004.8,1500260
149,8450,1727,6687,4,12,0,110.588,2000,10685.31,499926.5,1527764
151,2905,1619,5000,3,15,0,142.399,2003,21398.93,522337.8,1461988
152,9046,1448,9650,3,11,0,108.263,2001,11444.1,507615.5,1556976
153,8619,2033,15303,3,20,1,200.641,2003,15624.92,484111.7,1538625
154,3536,3162,6168,4,0,1,281.201,2004,22862.04,460207.4,1523328
155,5146,1056,9077,2,42,0,102.908,2002,5141.07,544689.8,1517401
156,8903,1732,10126,3,12,0,139.093,2002,14222.67,493675.1,1553111
158,9562,1498,7401,4,0,0,106.985,2001,6744.49,513198.2,1526434
160,9464,3183,10625,5,0,0,248.022,2003,21435.4,465921.7,1516959
161,1687,2157,8983,3,28,0,171.182,2000,6741.35,551148.9,1546040
165,5637,754,6363,2,18,0,125.941,2003,6777.51,541205.9,1552410
166,6683,1312,5491,3,0,0,107.139,2000,18276.85,594033.2,1521413
167,6245,3410,10625,4,0,1,420.291,2004,29539.54,630986,1518686
168,4890,1452,10070,3,37,0,103.019,2002,9258.93,531880.3,1500854
169,2700,1038,4904,3,25,0,31.093,2000,1449.71,530211.4,1532214
171,7289,2406,7826,4,0,0,199.921,2004,13483.32,575111.9,1512765
172,9722,2295,5485,4,0,0,177.633,2003,21484.31,605106.9,1525284
175,5803,1456,9101,3,19,0,147.294,2005,13509.04,494405.4,1549292
176,6166,1003,8892,3,30,0,93.694,2005,6748.08,515255.5,1541436
177,9577,1681,10201,3,23,0,153.925,2002,14417.84,496647.2,1503158
178,5489,2268,5568,4,3,1,170.037,2001,13567.19,578001.6,1520170
179,7620,3122,15934,4,7,1,438.96,2003,10520.34,532519.9,1565549
185,7666,1680,9183,3,31,0,136.051,2004,8951.31,562901,1539783
186,6332,1660,1883,3,0,0,169.856,2004,22427.78,607378.4,1518622
190,6239,1276,5505,3,3,0,110.614,2004,9866.54,505515.2,1544839
191,7481,2494,10775,4,10,1,220.867,2003,19498.69,524563.6,1467934
192,8880,975,8354,3,7,0,108.548,2004,21398.33,491817.9,1586608
195,5620,2555,13051,3,37,0,342.704,2002,2463.62,536832.1,1523262
196,6133,1727,5000,3,0,0,147.361,2002,20066.61,600255.3,1538688
197,9008,1661,9943,4,0,0,109.105,2000,8905.07,512442.2,1549877
198,9279,1877,11892,4,36,1,167.201,2001,5632.39,543444.9,1514739
199,6694,1979,9721,3,30,1,218.174,2000,11033.68,547191,1565137
200,4176,1237,10540,3,2,0,91.311,2000,12766.26,576000.2,1538908
201,907,1959,6597,3,1,0,234.289,2004,9437.17,506934.3,1517655
202,6314,4851,30716,4,0,1,773.386,2002,14594.53,487694.3,1522619
203,9957,2362,47071,4,14,1,259.336,2003,25785.32,599158.8,1476105
204,5490,1842,23009,3,11,0,135.529,2002,10021.18,566333.6,1540564
207,945,1452,6757,3,14,0,91.847,2001,11752.38,572948.6,1537027
208,8625,1382,11057,3,33,0,85.467,2001,14553.54,581090.9,1543022
209,4367,1633,6552,3,8,0,181.576,2003,11594.54,499265.8,1517579
210,3701,4871,44481,5,4,1,1883.188,2004,19477.76,473195,1514164
211,8956,2048,13000,4,15,1,164.571,2001,12841.6,493018.5,1525853
212,304,2227,12174,4,12,0,223.719,2003,16208.64,481728.2,1528043
214,9496,1708,5500,3,0,0,141.324,2000,15741.35,520579.6,1481441
219,5932,2896,47024,4,6,0,350.612,2005,25368.27,615913.8,1550026
222,8145,2047,8140,4,11,1,222.322,2004,19537.11,521344.8,1468407
223,965,3347,12376,4,14,1,413.409,2004,3739.73,523645.1,1536137
225,1471,1690,11250,3,8,0,108.325,2000,30378.05,633914.7,1519987
226,3257,2319,5400,4,0,0,163.19,2000,14815.37,579437.1,1550463
227,9927,1364,5308,3,6,0,138.348,2004,12293.46,574621.6,1537805
228,9881,1528,5000,4,1,0,127.089,2000,17380.83,591553.3,1525006
229,1376,1164,6216,3,2,0,141.928,2004,14828.82,579600.4,1512000
230,2532,1574,4403,4,0,0,132.881,2002,19056.7,544130.1,1469249
231,937,1139,8319,3,30,0,84.195,2000,9558.2,508071.1,1547458
232,9382,1559,5750,4,0,1,166.499,2000,21030.59,603271.5,1522120
236,3922,1621,10001,3,0,0,131.599,2000,19732.15,499763.4,1585538
237,5878,2156,5042,4,0,0,142.018,2001,15770.29,584332.1,1515965
238,7243,1311,8639,3,36,0,112.02,2001,3733.29,537380.8,1519112
241,5152,2486,13931,3,9,0,217.022,2003,20416.85,597776.2,1554088
242,8452,2162,5500,3,2,1,243.019,2004,20806.2,602671.7,1523274
246,3024,4504,20499,4,0,1,793.832,2000,18090.42,483502.2,1501268
247,8865,2812,11967,4,3,1,329.278,2004,20521.17,602075.1,1527235
248,2188,3205,17211,5,0,1,268.835,2002,24857.9,615894.3,1540334
249,274,2577,5500,4,3,1,187.078,2001,19605.06,599112.2,1528160
250,8817,2276,8252,4,4,0,249.022,2004,14860.64,486791.8,1539489
251,1951,2168,6425,4,0,0,230.374,2003,16424.52,481214.7,1525587
252,185,1166,12053,3,24,1,127.167,2003,8025.37,526372.3,1556039
253,5726,1671,23248,3,0,0,138.282,2003,11559.62,501573.4,1549352
254,7086,1199,8607,3,39,0,78.24,2002,9193.89,529618.9,1501378
255,5910,2075,5704,4,0,0,145.095,2001,13658.69,490438.4,1537286
256,302,2280,8621,3,0,0,183.392,2002,14477.86,492072.3,1551809
258,6577,2140,29281,3,31,0,350.704,2003,6358.71,537346.6,1510380
260,5924,2798,14968,5,14,1,602.311,2002,8063.29,541165.4,1556793
263,2371,1298,8245,4,26,0,79.996,2001,8515.42,513631.1,1549302
264,1911,1340,5881,2,33,0,116.516,2001,9367.2,538224,1561653
265,43,1270,3631,4,8,0,88.142,2005,5211.83,518300.5,1535473
266,2808,1829,10611,4,22,0,184.286,2002,4790.53,548639.9,1538624
267,7697,1476,10171,3,41,0,92.06,2000,8889.28,562569.8,1540153
273,5780,3463,14088,5,5,1,368.132,2002,13384.32,492133.4,1520802
274,6073,1400,6050,3,0,0,137.695,2003,12829.2,569717.8,1507532
275,6459,1422,10418,3,45,0,89.834,2001,9013.4,562898.6,1540456
277,6540,2232,14978,4,0,0,187.2,2003,24092.54,483829.6,1591519
278,8635,1877,5254,4,2,0,126.816,2001,20379.33,598263.2,1552323
279,8036,1691,5622,3,0,0,167.383,2004,21126.19,604058.8,1535055
281,5682,1713,7654,3,0,0,157.103,2001,19081.35,472258.5,1528692
282,6930,1892,12056,3,16,0,222.277,2003,13348.98,501577.4,1502581
285,8400,1420,16610,2,4,0,112.53,2003,19875.42,507772.4,1590448
286,4788,2380,6137,3,0,0,357.065,2004,4856.21,547927.8,1540189
288,957,2693,40609,3,20,1,312.352,2005,16546.77,587423.4,1544652
289,7892,1408,12995,3,13,0,132.264,2004,10741.32,515365.7,1560485
290,7359,1801,10144,3,11,0,135.785,2002,13057.25,494507.4,1545588
291,1842,3520,4998,5,3,0,176.764,2002,8499.79,514321.3,1550000
293,2717,1868,5972,4,4,0,155.663,2004,19350.94,471417.6,1534480
295,7272,1628,10125,3,12,0,120.424,2000,14846.21,578932.4,1551825
296,3032,2774,14652,4,0,1,289.444,2003,18522.89,474392.5,1524608
297,1872,1108,3439,2,6,0,126.515,2004,18701.65,539098.6,1469868
299,9538,2855,10121,4,0,1,275.162,2003,13971.09,575955.5,1551387
302,6884,1948,5500,3,0,0,144.073,2002,25057.55,616782.9,1538012
304,9170,2136,8625,3,0,0,187.358,2001,11924.69,572564.8,1520695
305,1954,2032,9505,3,5,0,210.281,2004,23601.81,485704.3,1590982
306,8333,3887,15435,5,6,1,687.994,2005,19662.97,492643.9,1482268
309,2344,1657,10872,3,15,0,106.709,2001,14920.69,487782.6,1544659
311,3012,2298,8819,4,0,0,203.95,2002,21994.37,585648.9,1479827
313,3819,2039,8690,4,10,0,144.555,2002,12472.93,571940.9,1513807
315,7598,1597,7310,3,37,0,81.894,2001,8140.89,530960,1504662
316,3401,1173,8539,3,0,0,74.122,2000,18088.82,491041.1,1571177
318,4440,1522,10188,4,28,0,90.084,2001,9864.43,507817.5,1548933
